,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 15:03:06,1641999786000000000,MP_001,8,cse2,97.42,19.49,17.42,20.27,20.23,200.9,7,27.53,0.5320148,14.21161,37.43522,4.531538,,afternoon,,0.03772342093095981,,,,,
2022-02-13 13:53:21,1644760401000000000,MP_005,8,cse2,97.8,21.0,19.0,22.19,21.9,1199.8,7,70.79,0.2321504,4.549802,51.02428,3.044773,,afternoon,,0.05156119280382785,,,,,
2022-03-16 15:02:20,1647442940000000000,MP_005,8,cse2,98.258,12.34,11.6,10.72,12.54,1014.1,7,43.89,0.5637865,7.569998,74.47644,3.949626,3.81,afternoon,2.099737532808399,0.07562589871595198,1.1838036745406824,0.15879453798625087,8.293177952755904,52.225838860238156,7.0055348966319695
2022-04-14 14:34:10,1649946850000000000,MP_005,8,cse2,97.218,19.84,19.07,18.7,19.2,0.6,7,46.82,0.1013706,11.74011,8.634548,-0.4508609,4.31,afternoon,1.8561484918793505,0.00864979025083894,0.1881588863109049,0.01605529512916741,0.8368647795823667,52.12391132331459,4.447649515737305
2022-05-09 13:35:03,1652103303000000000,MP_005,8,cse2,96.92,28.01,27.41,28.21,29.97,1639.2,7,27.76,0.7173281,27.51727,26.06828,1.489294,4.05,afternoon,1.9753086419753088,0.026207706496142708,1.4169443950617284,0.05176830912818313,2.941815308641975,56.82656741516838,2.076168492493184
2022-06-27 14:24:42,1656339882000000000,MP_001,8,cse2,96.83,28.23,28.49,26.71,28.54,1399.3,7,43.9,0.5158752,23.46517,21.98472,1.53274,4.02,afternoon,1.9900497512437814,0.02208380290272481,1.026617313432836,0.043947866473084206,3.0502288557213935,69.40561853189166,2.9711449590908807
2022-07-27 12:50:41,1658926241000000000,MP_005,8,cse2,96.488,30.65,29.38,29.29,30.82,1849.5,7,36.64,0.4140877,26.48442,15.63514,0.9057617,5.03,afternoon,1.5904572564612325,0.015685189005311122,0.6585887872763418,0.024946622672463014,1.440575268389662,57.746304471900366,2.1873668307462406
2022-08-17 13:35:18,1660743318000000000,MP_005,8,cse2,96.64,29.55,28.9,27.88,29.8,1329.7,7,52.67,0.141729,19.28419,7.349488,0.5631882,4.5,afternoon,1.7777777777777777,0.007360528022934331,0.25196266666666667,0.013085383151883255,1.0012234666666666,76.51464653693155,3.9736976906631667
2022-09-07 14:27:59,1662560879000000000,MP_005,8,cse2,96.858,26.77,27.67,25.28,27.84,1400.3,7,62.41,0.485312,16.10691,30.13067,1.378419,4.49,afternoon,1.7817371937639197,0.03031709333359053,0.8646984409799554,0.05401709279927043,2.4559804008908683,45.466726801040274,2.840273885665304
2022-12-01 15:38:07,1669909087000000000,MP_001,8,cse2,97.64,21.32,21.28,20.07,21.06,298.2,7,43.13,0.7009698,14.97171,46.81961,-1.056393,6.35,afternoon,1.2598425196850394,0.04727128822013557,0.8831115590551181,0.059554378860013316,1.3308888188976378,22.347455289996123,1.5070449540051511
2023-01-11 14:00:25,1673445625000000000,MP_001,8,cse2,97.9,20.97,21.09,20.1,21.09,1200.0,7,30.75,0.8224573,18.03269,45.60923,4.383275,5.74,afternoon,1.3937282229965156,0.04603774965565864,1.146281951219512,0.06416411101833956,6.109094076655052,95.21045300399992,5.329486406163579
2023-02-26 15:32:52,1677425572000000000,MP_001,8,cse2,97.84,19.72,19.69,18.69,19.59,600.0,7,61.88,0.4744949,9.07775,52.2701,2.384317,2.48,afternoon,3.2258064516129035,0.052833696448310784,1.5306287096774194,0.17043127886551868,7.6913451612903225,45.128718228766516,5.0249581186225605
2023-04-24 15:39:35,1682350775000000000,MP_001,8,cse2,,,,,,1000.0,7,65.74,0.29,11.11,26.2,1.8,1.47,afternoon,5.442176870748299,0.026340842874143375,1.5782312925170066,0.14335152584567823,9.795918367346939,68.33494313756039,6.206896551724139
