Date_Time,soil_mass_g,water_mass_g,soil_volume_cm3,water_volume_cm3,swc_%vol,Label
2023-10-04 07:15:00,1.6112225000000002,0.3485149999999999,1.2889780000000002,0.3485149999999999,0.2124426727521454,1.1.10
2023-10-04 07:30:00,1.6948974999999997,0.49771499999999946,1.355918,0.49771499999999946,0.26848251082591706,1.2.10
2023-10-04 07:15:00,1.6305674999999997,0.3412625,1.3044539999999998,0.3412625,0.20748897788257797,1.1.20
2023-10-04 07:30:00,1.695072500000001,0.4722150000000003,1.3560580000000009,0.4722150000000003,0.25701399638234745,1.2.20
2023-10-04 09:30:00,2.0069099999999995,0.4557574999999998,1.6055279999999996,0.4557574999999998,0.2221366130587053,2.1.10
2023-10-04 09:47:00,1.1392599999999993,0.4277925000000007,0.9114079999999994,0.4277925000000007,0.3253600094830954,2.2.10
2023-10-04 09:30:00,1.4133749999999994,0.3052850000000005,1.1306999999999996,0.3052850000000005,0.21487618198407765,2.1.20
2023-10-04 09:47:00,1.1645125000000016,0.4652624999999997,0.9316100000000012,0.4652624999999997,0.3321035692708844,2.2.20
2023-10-04 10:00:00,1.73989,0.5190200000000011,1.391912,0.5190200000000011,0.27108977217112407,3.1.10
2023-10-04 10:10:00,2.0323724999999992,0.40555249999999976,1.6258979999999994,0.40555249999999976,0.2022385014343694,3.2.10
2023-10-04 10:00:00,2.0467925000000005,0.6028350000000007,1.6374340000000003,0.6028350000000007,0.2685147475893141,3.1.20
2023-10-04 10:10:00,2.4839625000000005,0.48513249999999974,1.9871700000000003,0.48513249999999974,0.19985488026720655,3.2.20
2023-10-04 11:30:00,3.2191399999999994,0.7481100000000005,2.575312,0.7481100000000005,0.22551351666137615,5.1.10
2023-10-04 11:50:00,3.2487250000000003,0.6821174999999995,2.59898,0.6821174999999995,0.20838332603781218,5.1.20
2023-10-04 12:15:00,1.7956024999999993,0.6291975000000001,1.4364819999999996,0.6291975000000001,0.30955087020882344,6.1.10
2023-10-04 12:30:00,1.8003574999999996,0.6640874999999999,1.4402859999999997,0.6640874999999999,0.31143782970386297,6.1.20
