band,wavelength,mean,stdev,stdev/mean
b1,398.08,0.057787015,0.041984436,0.72653755
b2,400.292,0.051429898,0.040608406,0.789587527
b3,402.503,0.045251709,0.044853725,0.991205097
b4,404.715,0.032789602,0.020797044,0.634257289
b5,406.927,0.035538769,0.024109676,0.678404926
b6,409.139,0.032387541,0.021354788,0.65935196
b7,411.351,0.028631119,0.017646602,0.616343403
b8,413.563,0.028673741,0.018232814,0.635871463
b9,415.775,0.025962904,0.015650028,0.602784196
b10,417.986,0.02678077,0.015932229,0.594913017
b11,420.198,0.022447496,0.013405075,0.597174629
b12,422.41,0.026103158,0.015319032,0.586865071
b13,424.622,0.02277297,0.02713784,1.191668903
b14,426.834,0.023199829,0.013088599,0.564167895
b15,429.046,0.023739713,0.013468753,0.567351125
b16,431.258,0.024633584,0.013891276,0.563916147
b17,433.469,0.022878797,0.012833758,0.560945473
b18,435.681,0.025665194,0.013842225,0.5393384
b19,437.893,0.02469465,0.014024163,0.567902896
b20,440.105,0.027391461,0.014118498,0.515434275
b21,442.317,0.027472357,0.014163671,0.515560834
b22,444.529,0.029340432,0.014710051,0.50135769
b23,446.741,0.027919754,0.014025599,0.502353974
b24,448.952,0.030749585,0.014823859,0.482083221
b25,451.164,0.027995422,0.013691463,0.489060775
b26,453.376,0.031391771,0.014816002,0.471970892
b27,455.588,0.028710167,0.01387886,0.483412727
b28,457.8,0.031944351,0.015031044,0.470538419
b29,460.012,0.030930908,0.014784484,0.47798417
b30,462.224,0.032763662,0.015137833,0.462031173
b31,464.435,0.030927559,0.014559816,0.470771581
b32,466.647,0.031088917,0.014298843,0.459933764
b33,468.859,0.030164192,0.014312524,0.474487229
b34,471.071,0.032973834,0.015194148,0.460794105
b35,473.283,0.031352231,0.014901793,0.475302476
b36,475.495,0.033014379,0.015132709,0.458367211
b37,477.707,0.03162293,0.014846584,0.469487942
b38,479.918,0.032830655,0.014871226,0.452967695
b39,482.13,0.031954186,0.014972762,0.468569675
b40,484.342,0.033156313,0.015060942,0.454240543
b41,486.554,0.032419746,0.015415471,0.475496368
b42,488.766,0.034373712,0.015918566,0.463102918
b43,490.978,0.032699165,0.015499089,0.473990361
b44,493.189,0.033635705,0.015163158,0.450805404
b45,495.401,0.033323995,0.01538896,0.461798174
b46,497.613,0.034602034,0.015252011,0.440783663
b47,499.825,0.034350569,0.015703376,0.457150376
b48,502.037,0.036564507,0.016162878,0.44203735
b49,504.249,0.035044448,0.015853418,0.452380307
b50,506.461,0.037266735,0.016147931,0.433306844
b51,508.672,0.036422238,0.016123144,0.442673067
b52,510.884,0.038796968,0.016319882,0.420648397
b53,513.096,0.038557504,0.016581205,0.430038332
b54,515.308,0.040846517,0.01676493,0.410437214
b55,517.52,0.0405241,0.016856318,0.415957862
b56,519.732,0.045036108,0.017804113,0.395329732
b57,521.944,0.04552271,0.018194753,0.39968519
b58,524.155,0.050210666,0.018702993,0.372490443
b59,526.367,0.050232835,0.018728205,0.37282795
b60,528.579,0.054450402,0.019218661,0.35295719
b61,530.791,0.055084095,0.01954598,0.354838901
b62,533.003,0.058310766,0.019858574,0.340564455
b63,535.215,0.059748505,0.020745822,0.347219105
b64,537.427,0.063147654,0.021306301,0.337404473
b65,539.638,0.062736612,0.021595508,0.344224963
b66,541.85,0.065160259,0.02189326,0.335990998
b67,544.062,0.065794929,0.02260018,0.343494245
b68,546.274,0.067383807,0.022452099,0.333197244
b69,548.486,0.065575122,0.022387976,0.341409591
b70,550.698,0.067979513,0.022633947,0.332952467
b71,552.91,0.06792073,0.023159356,0.340976251
b72,555.121,0.069906405,0.023346265,0.333964599
b73,557.333,0.070245044,0.024063495,0.34256502
b74,559.545,0.072754343,0.024507367,0.336850917
b75,561.757,0.069575552,0.024150031,0.347105125
b76,563.969,0.071698655,0.024393351,0.340220478
b77,566.181,0.068266339,0.024004896,0.351635907
b78,568.393,0.069587924,0.024034968,0.345389932
b79,570.604,0.065506438,0.023465957,0.358223673
b80,572.816,0.066886791,0.023606708,0.35293528
b81,575.028,0.063096082,0.02306285,0.365519522
b82,577.24,0.063770848,0.022992608,0.360550457
b83,579.452,0.061419083,0.023048886,0.37527239
b84,581.664,0.062165547,0.023029085,0.370447715
b85,583.876,0.060221037,0.023194328,0.385153252
b86,586.087,0.057807977,0.021897112,0.378790493
b87,588.299,0.056823739,0.022355918,0.393425672
b88,590.511,0.058711537,0.022741706,0.387346462
b89,592.723,0.056068713,0.022490115,0.401117022
b90,594.935,0.058557459,0.022939708,0.391746996
b91,597.147,0.056318169,0.022918567,0.406948023
b92,599.359,0.058639498,0.02337588,0.398637105
b93,601.57,0.055906487,0.023187919,0.414762595
b94,603.782,0.057794867,0.023447204,0.405696999
b95,605.994,0.056532547,0.023849908,0.421879242
b96,608.206,0.056153863,0.023162375,0.412480519
b97,610.418,0.05460756,0.023516813,0.430651237
b98,612.63,0.055349338,0.023326782,0.421446447
b99,614.842,0.051717038,0.022782708,0.440526153
b100,617.053,0.053649091,0.023112666,0.43081189
b101,619.265,0.052060644,0.023541106,0.452186216
b102,621.477,0.053162917,0.023421923,0.440568811
b103,623.689,0.050965197,0.023520324,0.461497749
b104,625.901,0.051397315,0.023217357,0.451723141
b105,628.113,0.050717335,0.023890348,0.471048957
b106,630.325,0.052500654,0.024045449,0.458002849
b107,632.536,0.049951189,0.02385289,0.47752397
b108,634.748,0.05144377,0.023790253,0.462451587
b109,636.96,0.049907683,0.023999015,0.480868139
b110,639.172,0.05090423,0.023778819,0.467128554
b111,641.384,0.048565909,0.023774909,0.489539051
b112,643.596,0.050102062,0.024021967,0.479460653
b113,645.808,0.047817013,0.024226356,0.506647214
b114,648.019,0.047828592,0.02387879,0.499257647
b115,650.231,0.045039695,0.023751778,0.527352093
b116,652.443,0.04584827,0.02366206,0.516094943
b117,654.655,0.043886923,0.023818597,0.542726515
b118,656.867,0.04582336,0.024301691,0.530334119
b119,659.079,0.042276894,0.023504875,0.555974514
b120,661.291,0.044281518,0.023964238,0.541179219
b121,663.502,0.043031252,0.024483712,0.568975122
b122,665.714,0.043125797,0.02394569,0.555252111
b123,667.926,0.041581408,0.024353828,0.585690317
b124,670.138,0.041694985,0.023741022,0.569397539
b125,672.35,0.039920957,0.023977263,0.600618444
b126,674.562,0.042038359,0.024439973,0.581373163
b127,676.774,0.039932168,0.024324208,0.609138184
b128,678.985,0.041370157,0.024281037,0.586921568
b129,681.197,0.040224373,0.024659209,0.613041485
b130,683.409,0.041635606,0.024465236,0.58760368
b131,685.621,0.041372362,0.025142716,0.607717682
b132,687.833,0.043687799,0.02527852,0.578617392
b133,690.045,0.043701015,0.025576364,0.585257907
b134,692.257,0.047715823,0.02568108,0.538208888
b135,694.468,0.051999765,0.027337999,0.525733123
b136,696.68,0.057656741,0.027503663,0.477024229
b137,698.892,0.06335493,0.028986282,0.45752212
b138,701.104,0.071877773,0.029837007,0.415107554
b139,703.316,0.080031332,0.032075228,0.400783384
b140,705.528,0.093479249,0.034574284,0.36986053
b141,707.74,0.101959394,0.037029059,0.363174565
b142,709.951,0.112688881,0.038593633,0.342479515
b143,712.163,0.124346413,0.042447875,0.341367912
b144,714.375,0.13866646,0.04507943,0.325092526
b145,716.587,0.149545591,0.048915655,0.327095264
b146,718.799,0.160324124,0.050307889,0.31378864
b147,721.011,0.16939276,0.053446421,0.315517742
b148,723.223,0.189214258,0.056999993,0.301245763
b149,725.434,0.202817089,0.061824975,0.304831193
b150,727.646,0.215393562,0.063229912,0.293555255
b151,729.858,0.226725835,0.067667843,0.298456692
b152,732.07,0.239809137,0.068737864,0.286635716
b153,734.282,0.256891963,0.075087163,0.292290821
b154,736.494,0.26217136,0.073720285,0.281191222
b155,738.706,0.270443923,0.077953832,0.288243976
b156,740.917,0.281595196,0.0783233,0.278141463
b157,743.129,0.300898991,0.085969492,0.285708807
b158,745.341,0.29942094,0.082705882,0.276219432
b159,747.553,0.309195701,0.087650729,0.28347978
b160,749.765,0.312826415,0.085984225,0.27486242
b161,751.977,0.3132811,0.088398542,0.282170047
b162,754.189,0.322166248,0.088104488,0.273475227
b163,756.4,0.321547699,0.090357333,0.281007555
b164,758.612,0.330075876,0.090280526,0.273514464
b165,760.824,0.321587144,0.091100968,0.28328548
b166,763.036,0.325123424,0.08990304,0.276519725
b167,765.248,0.345944014,0.096979831,0.28033389
b168,767.46,0.343631536,0.093313052,0.271549733
b169,769.672,0.352074935,0.098009815,0.278377713
b170,771.883,0.336998564,0.091020728,0.270092332
b171,774.095,0.348406849,0.096912253,0.27815829
b172,776.307,0.336764169,0.09104258,0.270345211
b173,778.519,0.329723685,0.091688401,0.278076477
b174,780.731,0.328053046,0.088438537,0.269586087
b175,782.943,0.336221384,0.093261145,0.277380173
b176,785.155,0.353515622,0.095093529,0.268993853
b177,787.366,0.333755326,0.092409667,0.276878478
b178,789.578,0.349756812,0.093966914,0.268663571
b179,791.79,0.355854204,0.098391308,0.276493313
b180,794.002,0.35383517,0.094780914,0.267867421
b181,796.214,0.339656353,0.093516014,0.27532538
b182,798.426,0.342557537,0.091445965,0.266950672
b183,800.638,0.34780716,0.095460697,0.274464439
b184,802.849,0.347945801,0.09256676,0.266037871
b185,805.061,0.340053823,0.092996966,0.273477196
b186,807.273,0.34886411,0.092781794,0.265953966
b187,809.485,0.357543427,0.097540941,0.272808655
b188,811.697,0.354844995,0.094488069,0.266279842
b189,813.909,0.350308208,0.095335421,0.272147267
b190,816.121,0.343227805,0.091632498,0.266972828
b191,818.332,0.34506265,0.093596076,0.271243718
b192,820.544,0.356839384,0.094990778,0.266200377
b193,822.756,0.347856782,0.093788698,0.269618713
b194,824.968,0.352004143,0.093334899,0.265152841
b195,827.18,0.357548322,0.09608703,0.268738586
b196,829.392,0.354982382,0.09392508,0.264590822
b197,831.604,0.360525692,0.096721774,0.268279836
b198,833.815,0.350533548,0.092703986,0.264465374
b199,836.027,0.345221703,0.092644381,0.268361984
b200,838.239,0.354799733,0.093495113,0.263515173
b201,840.451,0.367431921,0.098242837,0.26737698
b202,842.663,0.356704123,0.093749174,0.26282055
b203,844.875,0.363491387,0.096873993,0.266509735
b204,847.087,0.368389491,0.096544571,0.262072001
b205,849.298,0.347328046,0.092206973,0.265475171
b206,851.51,0.35446166,0.092729484,0.261606529
b207,853.722,0.356487116,0.094502584,0.265093968
b208,855.934,0.36772748,0.096123007,0.261397399
b209,858.146,0.383144532,0.101301778,0.264395729
b210,860.358,0.367611537,0.095751424,0.260469038
b211,862.57,0.344668693,0.090947671,0.263869836
b212,864.781,0.364011191,0.0948042,0.260443093
b213,866.993,0.354990739,0.093557846,0.263550103
b214,869.205,0.351629757,0.091526565,0.260292432
b215,871.417,0.364549983,0.095778069,0.262729593
b216,873.629,0.361555896,0.093717396,0.259205831
b217,875.841,0.344244873,0.090274096,0.262238028
b218,878.053,0.358326243,0.092850041,0.259121521
b219,880.264,0.36226798,0.094832837,0.261775377
b220,882.476,0.361412369,0.093622123,0.259045155
b221,884.688,0.350543373,0.091805236,0.261894085
b222,886.9,0.368911225,0.095451927,0.258739558
b223,889.112,0.366380146,0.095945049,0.261872947
b224,891.324,0.364649589,0.094425491,0.258948574
b225,893.536,0.380959592,0.099495268,0.261170135
b226,895.747,0.361114436,0.093555713,0.259074975
b227,897.959,0.357350712,0.093332566,0.261179179
b228,900.171,0.348340084,0.090509113,0.259829738
b229,902.383,0.346072399,0.090032026,0.260153733
b230,904.595,0.34592849,0.088786848,0.256662433
b231,906.807,0.342255181,0.088891366,0.259722486
b232,909.019,0.367447176,0.094464022,0.25708191
b233,911.23,0.366079113,0.094897176,0.259225868
b234,913.442,0.360802568,0.092063438,0.255162923
b235,915.654,0.365863038,0.094646703,0.258694356
b236,917.866,0.360054341,0.091504614,0.254141121
b237,920.078,0.343309655,0.08866811,0.258274444
b238,922.29,0.336676323,0.085289861,0.253328954
b239,924.502,0.363812471,0.093925657,0.258170526
b240,926.713,0.353467287,0.089650297,0.2536311
b241,928.925,0.365182319,0.093832512,0.256947028
b242,931.137,0.345181954,0.089328403,0.258786421
b243,933.349,0.348998247,0.09056692,0.259505371
b244,935.561,0.395214365,0.107378417,0.271696646
b245,937.773,0.343501567,0.092543763,0.269412929
b246,939.985,0.375307741,0.101813187,0.271279208
b247,942.196,0.365782039,0.098011362,0.267950177
b248,944.408,0.329067707,0.087186292,0.264949401
b249,946.62,0.364049218,0.0950514,0.261094916
b250,948.832,0.326099875,0.087628934,0.268718084
b251,951.044,0.338223608,0.091105664,0.269365182
b252,953.256,0.340512543,0.093141925,0.273534492
b253,955.468,0.369733403,0.099497748,0.269106731
b254,957.679,0.363360179,0.098391252,0.270781605
b255,959.891,0.33803269,0.090116704,0.266591685
b256,962.103,0.336944099,0.090776883,0.269412295
b257,964.315,0.296010029,0.07864816,0.265694243
b258,966.527,0.327365716,0.087097549,0.266055806
b259,968.739,0.354661118,0.093964621,0.264941987
b260,970.951,0.317233191,0.08282131,0.261073912
b261,973.162,0.333242902,0.086449391,0.259418552
b262,975.374,0.379272734,0.099062646,0.261191057
b263,977.586,0.302650751,0.078973126,0.260938148
b264,979.798,0.327298265,0.085826677,0.262227718
b265,982.01,0.322067233,0.084224076,0.26151085
b266,984.222,0.304185487,0.080070674,0.263229766
b267,986.434,0.322638345,0.084029007,0.260443336
b268,988.645,0.329235949,0.086673117,0.263255325
b269,990.857,0.308027133,0.079921821,0.259463573
b270,993.069,0.354968712,0.092371628,0.260224703
b271,995.281,0.294197481,0.075792798,0.257625584
b272,997.493,0.34013461,0.088742854,0.260905098
b273,999.705,0.387783012,0.098844633,0.254896759
b274,1001.92,0.391393089,0.103327995,0.264000561
